,time,a,dadt,H,part_h,evt_h,H_h
2672,26.591761733943514,2.211234479655515,0.12965444479495963,0.0586344171040415,126.34740889222165,17.327908986980486,17.05482972953564
2673,26.601761733943516,2.212531024103465,0.12972589952238348,0.05863235277116598,126.4314919589517,17.32806324196961,17.055430197434898
2674,26.611761733943517,2.213828283098689,0.12979739882064326,0.05863029206536571,126.51562171733092,17.328217229902773,17.05602965247249
2675,26.62176173394352,2.2151262570868955,0.12986894271118846,0.058628234980149005,126.59979819585212,17.32837095124518,17.056628096318967
2676,26.63176173394352,2.2164249465140076,0.12994053121542415,0.058626181509008266,126.6840214230228,17.328524406461206,17.057225530650395
2677,26.64176173394352,2.217724351826162,0.13001216435488872,0.05862413164550029,126.76829142736518,17.32867759601442,17.057821957124975
2678,26.651761733943523,2.219024473469711,0.1300838421509428,0.0586220853831058,126.85260823741633,17.32883052036757,17.058417377423908
2679,26.661761733943525,2.2203253118912207,0.13015556462521358,0.0586200427154299,126.93697188172798,17.328983179982572,17.05901179319307
2680,26.671761733943526,2.221626867537473,0.13022733179915055,0.05861800363600165,127.02138238886673,17.329135575320556,17.059605206101324
2681,26.681761733943528,2.222929140855465,0.13029914369429202,0.058615968138394245,127.10583978741394,17.329287706841825,17.060197617805557
2682,26.69176173394353,2.224232132292408,0.13037100033222077,0.05861393621620497,127.19034410596579,17.329439575005864,17.060789029956503
2683,26.70176173394353,2.2255358422957303,0.13044290173451947,0.05861190786303506,127.27489537313325,17.329591180271358,17.061379444204594
2684,26.711761733943533,2.2268402713130757,0.13051484792268211,0.058609883072449964,127.35949361754214,17.329742523096193,17.061968862211533
2685,26.721761733943534,2.2281454197923027,0.13058683891842462,0.058607861838118856,127.44413886783306,17.32989360393743,17.062557285609675
2686,26.731761733943536,2.229451288181487,0.1306588747433297,0.058605844153655044,127.52883115266152,17.330044423251337,17.063144716048484
2687,26.741761733943537,2.2307578769289207,0.13073095541902457,0.05860383001269577,127.61357050069785,17.330194981493367,17.063731155171304
2688,26.75176173394354,2.232065186483111,0.1308030809671807,0.05860181940890212,127.69835694062722,17.33034527911819,17.064316604615374
2689,26.76176173394354,2.233373217292783,0.13087525140946973,0.058599812335939146,127.78319050114973,17.330495316579658,17.06490106601761
2690,26.771761733943542,2.234681969806878,0.13094746676756316,0.05859780878747578,127.86807121098029,17.33064509433083,17.065484541014644
2691,26.781761733943544,2.235991444474554,0.13101972706322135,0.0585958087572246,127.95299909884875,17.330794612823965,17.066067031231213
2692,26.791761733943545,2.2373016417451863,0.1310920323181159,0.058593812238862335,128.03797419349985,17.330943872510527,17.066648538303337
2693,26.801761733943547,2.2386125620683677,0.13116438255405152,0.058591819226129105,128.12299652369325,17.331092873841182,17.06722906384939
2694,26.81176173394355,2.2399242058939084,0.13123677779274426,0.05858982971272919,128.20806611820353,17.331241617265814,17.067808609499007
2695,26.82176173394355,2.241236573671836,0.13130921805604323,0.05858784369243015,128.29318300582017,17.331390103233502,17.06838717686422
2696,26.83176173394355,2.2425496658523967,0.13138170336566446,0.05858586115894386,128.37834721534767,17.331538332192537,17.068964767574087
2697,26.841761733943553,2.2438634828860535,0.1314542337434571,0.058583882106045454,128.4635587756054,17.331686304590434,17.069541383240065
2698,26.851761733943555,2.2451780252234883,0.13152680921122592,0.05858190652749398,128.54881771542776,17.331834020873888,17.070117025479096
2699,26.861761733943556,2.2464932933156008,0.13159942979090897,0.05857993441711161,128.63412406366402,17.33198148148885,17.070691695890545
2700,26.871761733943558,2.24780928761351,0.13167209550426656,0.05857796576864503,128.71947784917853,17.33212868688045,17.07126539609658
2701,26.88176173394356,2.249126008568553,0.13174480637328118,0.05857600057594355,128.80487910085063,17.33227563749305,17.071838127690263
2702,26.89176173394356,2.250443456632286,0.13181756241980197,0.058574038832800795,128.8903278475746,17.332422333770236,17.072409892281687
2703,26.901761733943562,2.251761632256484,0.13189036366576692,0.05857208053305356,128.97582411825977,17.3325687761548,17.07298069146916
2704,26.911761733943564,2.253080535893142,0.1319632101330697,0.05857012567052258,129.0613679418305,17.332714965088766,17.07355052685646
2705,26.921761733943566,2.254400167994473,0.13203610184373704,0.058568174239091324,129.14695934722616,17.332860901013362,17.07411940002989
2706,26.931761733943567,2.2557205290129105,0.13210903881975145,0.05856622623262712,129.23259836340114,17.333006584369063,17.074687312581226
2707,26.94176173394357,2.2570416194011083,0.13218202108300647,0.05856428164496149,129.31828501932497,17.33315201559556,17.07525426611348
2708,26.95176173394357,2.2583634396119385,0.13225504865561774,0.058562340470027945,129.40401934398213,17.33329719513176,17.075820262200715
2709,26.961761733943572,2.259685990098495,0.1323281215595233,0.058560402701684854,129.48980136637226,17.333442123415807,17.07638530243968
2710,26.971761733943573,2.2610092713140904,0.13240123981683877,0.05855846833387271,129.57563111551005,17.333586800885072,17.076949388403957
2711,26.981761733943575,2.262333283712259,0.132474403449591,0.05855653736049622,129.66150862042525,17.33373122797616,17.077512521678344
2712,26.991761733943576,2.263658027746755,0.13254761247985117,0.0585546097754832,129.74743391016278,17.3338754051249,17.078074703841672
2713,27.001761733943578,2.264983503871554,0.1326208669297794,0.058552685572804186,129.8334070137826,17.334019332766363,17.078635936461083
2714,27.01176173394358,2.266309712540852,0.13269416682140248,0.05855076474637425,129.91942796035985,17.334163011334848,17.07919622112066
2715,27.02176173394358,2.267636654209066,0.13276751217692484,0.05854884729019037,130.00549677898476,17.33430644126389,17.079755559381372
2716,27.031761733943583,2.2689643293308355,0.1328409030184622,0.058546933198213705,130.09161349876274,17.334449622986273,17.080313952815388
2717,27.041761733943584,2.2702927383610203,0.1329143393681745,0.05854502246442836,130.17777814881435,17.334592556934002,17.08087140298895
2718,27.051761733943586,2.2716218817547023,0.13298782124826633,0.05854311508284143,130.2639907582753,17.33473524353833,17.08142791146235
2719,27.061761733943587,2.272951759967185,0.13306134868094208,0.05854121104746328,130.35025135629644,17.334877683229752,17.081983479795678
2720,27.07176173394359,2.2742823734539948,0.13313492168840618,0.05853931035230762,130.43655997204382,17.335019876438007,17.08253810954881
2721,27.08176173394359,2.275613722670879,0.13320854029290757,0.05853741299141105,130.52291663469876,17.33516182359207,17.083091802275682
2722,27.091761733943592,2.2769458080738083,0.13328220451669506,0.058535518958813385,130.60932137345768,17.335303525120178,17.083644559530043
2723,27.101761733943594,2.2782786301189755,0.13335591438206199,0.05853362824857727,130.6957742175322,17.335444981449797,17.084196382859734
2724,27.111761733943595,2.2796121892627963,0.13342966991125718,0.05853174085474907,130.78227519614933,17.33558619300765,17.08474727381807
2725,27.121761733943597,2.280946485961909,0.13350347112666272,0.05852985677143684,130.8688243385511,17.335727160219708,17.085297233941123
2726,27.1317617339436,2.282281520673176,0.13357731805052753,0.058527975992693444,130.95542167399492,17.335867883511195,17.085846264781797
2727,27.1417617339436,2.2836172938536814,0.13365121070527805,0.05852609851265275,131.0420672317534,17.336008363306583,17.08639436787009
2728,27.1517617339436,2.2849538059607344,0.13372514911316322,0.05852422432537405,131.1287610411145,17.336148600029603,17.086941544758503
2729,27.161761733943603,2.2862910574518662,0.1337991332966983,0.05852235342503639,131.2155031313813,17.336288594103227,17.087487796965306
2730,27.171761733943605,2.2876290487848334,0.1338731632781322,0.0585204858057054,131.3022935318723,17.33642834594971,17.088033126042607
2731,27.181761733943606,2.288967780417615,0.13394723908002465,0.0585186214615858,131.3891322719212,17.336567855990538,17.088577533502633
2732,27.191761733943608,2.2903072528084154,0.1340213607247133,0.05851676038678825,131.4760193808771,17.336707124646473,17.08912102088579
2733,27.20176173394361,2.2916474664156627,0.1340955282346691,0.05851490257548481,131.5629548881043,17.336846152337518,17.089663589715286
2734,27.21176173394361,2.2929884216980096,0.13416974163240736,0.05851304802186992,131.6499388229825,17.336984939482967,17.090205241508503
2735,27.221761733943612,2.294330119114334,0.1342440009403102,0.058511196720082974,131.7369712149068,17.337123486501348,17.090745977799614
2736,27.231761733943614,2.2956725591237372,0.13431830618098173,0.05850934866436322,131.82405209328743,17.337261793810466,17.091285800094344
2737,27.241761733943616,2.2970157421855473,0.13439265737693726,0.05850750384891413,131.91118148755018,17.33739986182739,17.091824709909574
2738,27.251761733943617,2.298359668759317,0.13446705455064775,0.058505662267922906,131.9983594271362,17.337537690968468,17.09236270876765
2739,27.26176173394362,2.2997043393048235,0.1345414977246729,0.058503823915618376,132.08558594150185,17.337675281649293,17.09289979817946
2740,27.27176173394362,2.3010497542820705,0.13461598692166127,0.05850198878627098,132.17286106011898,17.33781263428474,17.093435979644443
2741,27.281761733943622,2.3023959141512873,0.13469052216417257,0.05850015687411537,132.26018481247488,17.337949749288953,17.093971254673185
2742,27.291761733943623,2.3037428193729292,0.134765103474811,0.05849832817340852,132.34755722807216,17.33808662707536,17.094505624770456
2743,27.301761733943625,2.3050904704076776,0.13483973087618065,0.05849650267841025,132.43497833642894,17.338223268056637,17.095039091440892
2744,27.311761733943626,2.3064388677164396,0.13491440439097446,0.05849468038342182,132.5224481670787,17.338359672644756,17.095571656177704
2745,27.321761733943628,2.3077880117603495,0.13498912404179664,0.05849286128270887,132.60996674957033,17.33849584125096,17.096103320485213
2746,27.33176173394363,2.3091379030007677,0.13506388985134007,0.05849104537057836,132.6975341134682,17.338631774285762,17.096634085856348
2747,27.34176173394363,2.3104885418992813,0.1351387018423422,0.05848923264135934,132.78515028835216,17.338767472158963,17.097163953778264
2748,27.351761733943633,2.311839928917705,0.13521356003754031,0.0584874230893836,132.8728153038175,17.33890293527963,17.09769292573801
2749,27.361761733943634,2.3131920645180806,0.13528846445958304,0.058485616708947336,132.96052918947504,17.339038164056138,17.098221003233714
2750,27.371761733943636,2.3145449491626766,0.1353634151312521,0.05848381349440717,133.048291974951,17.339173158896113,17.09874818774652
2751,27.381761733943637,2.3158985833139893,0.1354384120753737,0.05848201344014163,133.13610368988716,17.339307920206487,17.09927448075184
2752,27.39176173394364,2.3172529674347433,0.1355134553146408,0.05848021654047446,133.22396436394075,17.339442448393466,17.09979988374179
2753,27.40176173394364,2.31860810198789,0.13558854487192395,0.058478422789808804,133.3118740267846,17.339576743862544,17.100324398185936
2754,27.411761733943642,2.3199639874366094,0.13566368077004942,0.058476632182531366,133.39983270810703,17.339710807018506,17.10084802555932
2755,27.421761733943644,2.32132062424431,0.13573886303184335,0.058474844713031486,133.48784043761185,17.339844638265422,17.101370767336878
2756,27.431761733943645,2.3226780128746287,0.1358140916801319,0.058473060375701214,133.57589724501855,17.339978238006655,17.10189262499343
2757,27.441761733943647,2.3240361537914302,0.13588936673783011,0.05847127916497355,133.66400316006204,17.34011160664486,17.10241359999247
2758,27.45176173394365,2.3253950474588088,0.13596468822780855,0.058469501075264926,133.75215821249284,17.340244744581984,17.102933693803013
2759,27.46176173394365,2.326754694341087,0.13604005617298226,0.058467726101013584,133.84036243207711,17.340377652219264,17.103452907888343
2760,27.47176173394365,2.328115094902817,0.1361154705963106,0.05846595423667939,133.9286158485965,17.340510329957233,17.10397124370608
